date,water_level_m,qc_water_level,discharge_mld,qc_discharge
22/05/2018 0:00,1.515,2,112.52,2
23/05/2018 0:00,1.515,2,113.21,2
24/05/2018 0:00,1.516,2,113.65,2
25/05/2018 0:00,1.516,2,114.75,2
26/05/2018 0:00,1.529,2,132.55,2
27/05/2018 0:00,1.529,2,133.35,2
28/05/2018 0:00,1.529,2,132.56,2
29/05/2018 0:00,1.534,2,140.81,2
30/05/2018 0:00,1.534,2,140.76,2
31/05/2018 0:00,1.531,2,135.25,2
1/06/2018 0:00,1.529,2,131.9,2
2/06/2018 0:00,1.528,2,130.51,2
3/06/2018 0:00,1.528,2,130.54,2
4/06/2018 0:00,1.527,2,129.66,2
5/06/2018 0:00,1.527,2,129.85,2
6/06/2018 0:00,1.526,2,128.76,2
7/06/2018 0:00,1.524,2,125.74,2
8/06/2018 0:00,1.516,2,114.41,2
9/06/2018 0:00,1.515,2,113.28,2
10/06/2018 0:00,1.515,2,112.62,2
11/06/2018 0:00,1.514,2,111.49,2
12/06/2018 0:00,1.519,2,118.49,2
13/06/2018 0:00,1.519,2,117.73,2
14/06/2018 0:00,1.515,2,112.66,2
15/06/2018 0:00,1.514,2,111.84,2
16/06/2018 0:00,1.513,2,109.56,2
17/06/2018 0:00,1.502,2,96.28,2
18/06/2018 0:00,1.498,2,91.11,2
19/06/2018 0:00,1.496,2,88.65,2
20/06/2018 0:00,1.495,2,87.75,2
21/06/2018 0:00,1.5,2,93.37,2
22/06/2018 0:00,1.501,2,94.83,2
23/06/2018 0:00,1.501,2,94.01,2
24/06/2018 0:00,1.5,2,93.71,2
25/06/2018 0:00,1.472,2,79.88,150
26/06/2018 0:00,1.502,2,95.82,2
27/06/2018 0:00,1.502,2,95.59,2
28/06/2018 0:00,1.502,2,95.32,2
29/06/2018 0:00,1.502,2,95.78,2
30/06/2018 0:00,1.503,2,97.23,2
1/07/2018 0:00,1.512,2,109.35,2
2/07/2018 0:00,1.513,2,110.51,2
3/07/2018 0:00,1.501,2,98.44,2
4/07/2018 0:00,1.513,2,109.92,2
5/07/2018 0:00,1.513,2,109.85,2
6/07/2018 0:00,1.512,2,109.42,2
7/07/2018 0:00,1.512,2,108.62,2
8/07/2018 0:00,1.511,2,107.86,2
9/07/2018 0:00,1.511,2,107.66,2
10/07/2018 0:00,1.511,2,106.8,2
11/07/2018 0:00,1.512,2,109.21,2
12/07/2018 0:00,1.517,2,115.76,2
13/07/2018 0:00,1.514,2,111.55,2
14/07/2018 0:00,1.511,2,108,2
15/07/2018 0:00,1.489,2,92.37,150
16/07/2018 0:00,1.512,2,108.37,2
17/07/2018 0:00,1.512,2,108.27,2
18/07/2018 0:00,1.512,2,108.9,2
19/07/2018 0:00,1.514,2,110.82,2
20/07/2018 0:00,1.516,2,114.61,2
21/07/2018 0:00,1.378,2,64.42,150
22/07/2018 0:00,1.516,2,113.82,2
23/07/2018 0:00,1.516,2,114.1,2
24/07/2018 0:00,1.518,2,116.95,2
25/07/2018 0:00,1.518,2,116.3,2
26/07/2018 0:00,1.512,2,108.24,2
27/07/2018 0:00,1.51,2,105.52,2
28/07/2018 0:00,1.51,2,106.36,2
29/07/2018 0:00,1.51,2,106.19,2
30/07/2018 0:00,1.509,2,105.01,2
31/07/2018 0:00,1.51,2,106.69,2
1/08/2018 0:00,1.519,2,117.59,2
2/08/2018 0:00,1.519,2,118.46,2
3/08/2018 0:00,1.518,2,117.46,2
4/08/2018 0:00,1.507,2,101.76,2
5/08/2018 0:00,1.485,2,76.51,2
6/08/2018 0:00,1.471,2,63.98,2
7/08/2018 0:00,1.468,2,61.68,2
8/08/2018 0:00,1.462,2,56.85,2
9/08/2018 0:00,1.43,2,36.83,2
10/08/2018 0:00,1.397,2,24.25,2
11/08/2018 0:00,1.367,2,17.09,2
12/08/2018 0:00,1.441,2,54.56,2
13/08/2018 0:00,1.508,2,102.99,2
14/08/2018 0:00,1.51,2,105.57,2
15/08/2018 0:00,1.506,2,100.99,2
16/08/2018 0:00,1.505,2,99.22,2
17/08/2018 0:00,1.504,2,98.87,2
18/08/2018 0:00,1.505,2,100.08,2
19/08/2018 0:00,1.506,2,100.4,2
20/08/2018 0:00,1.504,2,98.86,2
21/08/2018 0:00,1.505,2,99.64,2
22/08/2018 0:00,1.505,2,99.16,2
23/08/2018 0:00,1.504,2,98.26,2
24/08/2018 0:00,1.506,2,100.39,2
