date,water_level_m,qc_water_level,discharge_mld,qc_discharge
17/02/2019 0:00,87.209,2,,250
18/02/2019 0:00,87.209,2,,250
19/02/2019 0:00,87.212,2,,250
20/02/2019 0:00,87.209,2,,250
21/02/2019 0:00,87.199,2,,250
22/02/2019 0:00,87.179,2,,250
23/02/2019 0:00,87.154,2,,250
24/02/2019 0:00,87.121,2,,250
25/02/2019 0:00,87.075,2,,250
26/02/2019 0:00,87.03,2,,250
27/02/2019 0:00,87.001,2,,250
28/02/2019 0:00,86.994,2,,250
1/03/2019 0:00,86.987,2,,250
2/03/2019 0:00,86.961,2,,250
3/03/2019 0:00,86.919,2,,250
4/03/2019 0:00,86.883,2,,250
5/03/2019 0:00,86.858,2,,250
6/03/2019 0:00,86.832,2,,250
7/03/2019 0:00,86.799,2,,250
8/03/2019 0:00,86.78,2,,250
9/03/2019 0:00,86.782,2,,250
10/03/2019 0:00,86.792,2,,250
11/03/2019 0:00,86.809,2,,250
12/03/2019 0:00,86.835,2,,250
13/03/2019 0:00,86.869,2,,250
14/03/2019 0:00,86.911,2,,250
15/03/2019 0:00,86.972,2,,250
16/03/2019 0:00,87.042,2,,250
17/03/2019 0:00,87.105,2,,250
18/03/2019 0:00,87.147,2,,250
19/03/2019 0:00,87.167,2,,250
20/03/2019 0:00,87.172,2,,250
21/03/2019 0:00,87.165,2,,250
22/03/2019 0:00,87.156,2,,250
23/03/2019 0:00,87.149,2,,250
24/03/2019 0:00,87.141,2,,250
25/03/2019 0:00,87.128,2,,250
26/03/2019 0:00,87.108,2,,250
27/03/2019 0:00,87.093,2,,250
28/03/2019 0:00,87.091,2,,250
29/03/2019 0:00,87.084,2,,250
30/03/2019 0:00,87.064,2,,250
31/03/2019 0:00,87.038,2,,250
1/04/2019 0:00,87.02,2,,250
2/04/2019 0:00,87,2,,250
3/04/2019 0:00,86.974,2,,250
4/04/2019 0:00,86.939,2,,250
5/04/2019 0:00,86.909,2,,250
6/04/2019 0:00,86.887,2,,250
7/04/2019 0:00,86.862,2,,250
8/04/2019 0:00,86.845,2,,250
9/04/2019 0:00,86.833,2,,250
10/04/2019 0:00,86.816,2,,250
11/04/2019 0:00,86.8,2,,250
12/04/2019 0:00,86.786,2,,250
13/04/2019 0:00,86.78,2,,250
14/04/2019 0:00,86.788,2,,250
15/04/2019 0:00,86.808,2,,250
16/04/2019 0:00,86.83,2,,250
17/04/2019 0:00,86.842,2,,250
18/04/2019 0:00,86.835,2,,250
19/04/2019 0:00,86.822,2,,250
20/04/2019 0:00,86.83,2,,250
21/04/2019 0:00,86.833,2,,250
22/04/2019 0:00,86.834,2,,250
23/04/2019 0:00,86.843,2,,250
24/04/2019 0:00,86.855,2,,250
25/04/2019 0:00,86.869,2,,250
26/04/2019 0:00,86.874,2,,250
27/04/2019 0:00,86.871,2,,250
28/04/2019 0:00,86.859,2,,250
29/04/2019 0:00,86.828,2,,250
30/04/2019 0:00,86.784,2,,250
1/05/2019 0:00,86.748,2,,250
2/05/2019 0:00,86.747,2,,250
3/05/2019 0:00,86.746,2,,250
4/05/2019 0:00,86.724,2,,250
5/05/2019 0:00,86.687,2,,250
6/05/2019 0:00,86.641,2,,250
7/05/2019 0:00,86.6,2,,250
8/05/2019 0:00,86.578,2,,250
9/05/2019 0:00,86.578,2,,250
10/05/2019 0:00,86.581,2,,250
11/05/2019 0:00,86.562,2,,250
12/05/2019 0:00,86.531,2,,250
13/05/2019 0:00,86.495,2,,250
14/05/2019 0:00,86.449,2,,250
15/05/2019 0:00,86.396,2,,250
16/05/2019 0:00,86.348,2,,250
17/05/2019 0:00,86.322,2,,250
18/05/2019 0:00,86.288,2,,250
19/05/2019 0:00,86.255,2,,250
20/05/2019 0:00,86.228,2,,250
21/05/2019 0:00,86.199,2,,250
22/05/2019 0:00,86.176,2,,250
23/05/2019 0:00,86.166,2,,250
24/05/2019 0:00,86.147,2,,250
25/05/2019 0:00,86.129,2,,250
26/05/2019 0:00,86.132,2,,250
27/05/2019 0:00,86.139,2,,250
28/05/2019 0:00,86.129,2,,250
29/05/2019 0:00,86.137,2,,250
30/05/2019 0:00,86.125,2,,250
31/05/2019 0:00,86.128,2,,250
1/06/2019 0:00,86.123,2,,250
2/06/2019 0:00,86.122,2,,250
3/06/2019 0:00,86.122,2,,250
4/06/2019 0:00,86.118,2,,250
5/06/2019 0:00,86.109,2,,250
6/06/2019 0:00,86.112,2,,250
7/06/2019 0:00,86.122,2,,250
8/06/2019 0:00,86.142,2,,250
9/06/2019 0:00,86.157,2,,250
10/06/2019 0:00,86.174,2,,250
11/06/2019 0:00,86.172,2,,250
12/06/2019 0:00,86.177,2,,250
13/06/2019 0:00,86.188,2,,250
14/06/2019 0:00,86.188,2,,250
15/06/2019 0:00,86.185,2,,250
16/06/2019 0:00,86.185,2,,250
17/06/2019 0:00,86.186,2,,250
18/06/2019 0:00,86.2,2,,250
19/06/2019 0:00,86.228,2,,250
20/06/2019 0:00,86.273,2,,250
21/06/2019 0:00,86.331,2,,250
22/06/2019 0:00,86.375,2,,250
23/06/2019 0:00,86.391,2,,250
24/06/2019 0:00,86.394,2,,250
25/06/2019 0:00,86.396,2,,250
26/06/2019 0:00,86.407,2,,250
27/06/2019 0:00,86.426,2,,250
28/06/2019 0:00,86.433,2,,250
29/06/2019 0:00,86.438,2,,250
30/06/2019 0:00,86.432,2,,250
1/07/2019 0:00,86.419,2,,250
2/07/2019 0:00,86.425,2,,250
3/07/2019 0:00,86.43,2,,250
4/07/2019 0:00,86.449,2,,250
5/07/2019 0:00,86.461,2,,250
6/07/2019 0:00,86.484,2,,250
7/07/2019 0:00,86.557,2,,250
8/07/2019 0:00,86.683,2,,250
9/07/2019 0:00,86.804,2,,250
10/07/2019 0:00,86.972,2,,250
11/07/2019 0:00,87.219,2,,250
12/07/2019 0:00,87.484,2,,250
13/07/2019 0:00,87.689,2,,250
14/07/2019 0:00,87.804,2,,250
15/07/2019 0:00,87.873,2,,250
16/07/2019 0:00,87.897,2,,250
17/07/2019 0:00,87.9,2,,250
18/07/2019 0:00,87.895,2,,250
19/07/2019 0:00,87.9,2,,250
20/07/2019 0:00,87.913,2,,250
21/07/2019 0:00,87.919,2,,250
22/07/2019 0:00,87.908,2,,250
23/07/2019 0:00,87.883,2,,250
24/07/2019 0:00,87.839,2,,250
25/07/2019 0:00,87.774,2,,250
26/07/2019 0:00,87.688,2,,250
27/07/2019 0:00,87.585,2,,250
28/07/2019 0:00,87.475,2,,250
29/07/2019 0:00,87.38,2,,250
30/07/2019 0:00,87.287,2,,250
31/07/2019 0:00,87.192,2,,250
1/08/2019 0:00,87.106,2,,250
2/08/2019 0:00,87.03,2,,250
3/08/2019 0:00,86.96,2,,250
4/08/2019 0:00,86.901,2,,250
5/08/2019 0:00,86.851,2,,250
6/08/2019 0:00,86.796,2,,250
7/08/2019 0:00,86.746,2,,250
8/08/2019 0:00,86.729,2,,250
9/08/2019 0:00,86.768,2,,250
10/08/2019 0:00,86.79,2,,250
11/08/2019 0:00,86.822,2,,250
12/08/2019 0:00,86.86,2,,250
13/08/2019 0:00,86.901,2,,250
